iter	Passed	Remaining
0	1616	1614639
1	3059	1526714
2	4313	1433407
3	5610	1397108
4	6998	1392720
5	8289	1373226
6	9566	1357040
7	10842	1344526
8	12231	1346781
9	13468	1333400
10	14773	1328299
11	16130	1328059
12	17450	1324863
13	18820	1325506
14	20167	1324328
15	21514	1323167
16	22863	1322023
17	24209	1320773
18	25565	1320011
19	26913	1318749
20	28354	1321852
21	29612	1316420
22	30859	1310860
23	32159	1307802
24	33640	1311961
25	34891	1307078
26	36182	1303920
27	37491	1301490
28	38802	1299198
29	40073	1295702
30	41422	1294775
31	42756	1293396
32	44044	1290628
33	45409	1290160
34	46692	1287376
35	48057	1286874
36	49395	1285615
37	50714	1283888
38	51983	1280921
39	53236	1277665
40	54492	1274603
41	55739	1271389
42	57050	1269713
43	58315	1267030
44	59590	1264635
45	60877	1262542
46	62228	1261772
47	63608	1261568
48	64937	1260325
49	66286	1259435
50	67634	1258531
51	68994	1257820
52	70320	1256486
53	71604	1254396
54	72884	1252288
55	74153	1250008
56	75450	1248239
57	76775	1246933
58	78124	1246017
59	79443	1244615
60	80743	1242924
61	82063	1241536
62	83383	1240166
63	84737	1239292
64	86085	1238300
65	87429	1237253
66	88771	1236181
67	90124	1235239
68	91406	1233319
69	92682	1231359
70	93968	1229527
71	95243	1227577
72	96597	1226660
73	97968	1225932
74	99310	1224827
75	100661	1223833
76	101931	1221850
77	103231	1220251
78	104573	1219137
79	105899	1217849
80	107239	1216700
81	108569	1215446
82	109910	1214311
83	111260	1213264
84	112603	1212140
85	113965	1211210
86	115313	1210129
87	116644	1208859
88	118006	1207904
89	119344	1206700
90	120693	1205608
91	122002	1204107
92	123350	1202996
93	124682	1201730
94	126026	1200566
95	127276	1198523
96	128699	1198097
97	129993	1196468
98	131339	1195324
99	132674	1194068
100	133992	1192663
101	135333	1191467
102	136654	1190084
103	138004	1188958
104	139363	1187905
105	140719	1186827
106	142051	1185531
107	143328	1183790
108	144648	1182402
109	145973	1181062
110	147283	1179594
111	148579	1178024
112	149963	1177150
113	151282	1175758
114	152575	1174164
115	153906	1172876
116	155225	1171486
117	156546	1170121
118	157892	1168934
119	159144	1167056
120	160377	1165059
121	161692	1163658
122	163011	1162281
123	164323	1160863
124	165610	1159273
125	166939	1157974
126	168227	1156400
127	169505	1154753
128	170760	1152965
129	172090	1151682
130	173364	1150025
131	174561	1147872
132	175817	1146116
133	177078	1144399
134	178340	1142699
135	179569	1140794
136	180835	1139129
137	182088	1137391
138	183375	1135871
139	184679	1134461
140	185978	1133015
141	187312	1131791
142	188597	1130264
143	189917	1128952
144	191257	1127760
145	192616	1126672
146	193939	1125375
147	195295	1124269
148	196646	1123129
149	198001	1122010
150	199330	1120739
151	200651	1119424
152	201986	1118185
153	203362	1117171
154	204701	1115951
155	206014	1114589
156	207370	1113458
157	208712	1112251
158	210035	1110944
159	211385	1109771
160	212711	1108475
161	214046	1107227
162	215383	1105988
163	216717	1104729
164	218078	1103607
165	219454	1102559
166	220791	1101311
167	222129	1100068
168	223468	1098829
169	224810	1097605
170	226164	1096433
171	227525	1095295
172	228874	1094100
173	230211	1092842
174	231566	1091669
175	232914	1090461
176	234272	1089301
177	235607	1088029
178	236958	1086832
179	238305	1085614
180	239656	1084412
181	240980	1083088
182	242328	1081872
183	243683	1080683
184	245023	1079428
185	246380	1078246
186	247742	1077081
187	249073	1075787
188	250412	1074521
189	251761	1073297
190	253118	1072109
191	254471	1070899
192	255814	1069649
193	257166	1068435
194	258516	1067210
195	259839	1065872
196	261204	1064704
197	262557	1063492
198	263904	1062249
199	265272	1061090
200	266607	1059796
201	267960	1058574
202	269309	1057337
203	270649	1056062
204	271994	1054809
205	273362	1053638
206	274704	1052369
207	276041	1051082
208	277408	1049906
209	278757	1048659
210	280096	1047373
211	281446	1046130
212	282768	1044781
213	284119	1043541
214	285477	1042324
215	286815	1041035
216	288168	1039797
217	289514	1038533
218	290856	1037254
219	292177	1035902
220	293531	1034666
221	294869	1033369
222	296231	1032159
223	297558	1030828
224	298910	1029582
225	300256	1028312
226	301621	1027106
227	302977	1025870
228	304335	1024639
229	305671	1023333
230	307004	1022019
231	308344	1020725
232	309701	1019489
233	311034	1018171
234	312385	1016915
235	313706	1015557
236	315081	1014377
237	316445	1013158
238	317781	1011847
239	319129	1010576
240	320492	1009353
241	321847	1008101
242	323182	1006787
243	324521	1005484
244	325852	1004158
245	327212	1002920
246	328574	1001687
247	329914	1000385
248	331266	999120
249	332597	997791
250	333925	996454
251	335281	995200
252	336634	993937
253	337971	992625
254	339325	991362
255	340666	990061
256	342015	988783
257	343346	987455
258	344679	986129
259	346022	984832
260	347384	983591
261	348732	982306
262	350071	980997
263	351429	979743
264	352761	978415
265	354118	977153
266	355468	975875
267	356792	974521
268	358118	973175
269	359453	971855
270	360785	970525
271	362124	969216
272	363455	967883
273	364802	966594
274	366151	965308
275	367490	963996
276	368801	962610
277	370146	961315
278	371482	959996
279	372802	958634
280	374109	957240
281	375425	955870
282	376766	954564
283	378090	953213
284	379434	951914
285	380758	950564
286	382083	949217
287	383411	947877
288	384745	946553
289	386077	945223
290	387418	943916
291	388753	942593
292	390109	941321
293	391453	940020
294	392799	938724
295	394157	937454
296	395482	936107
297	396808	934764
298	398170	933502
299	399527	932231
300	400871	930927
301	402211	929614
302	403564	928331
303	404894	926995
304	406270	925764
305	407609	924447
306	408959	923156
307	410281	921801
308	411631	920509
309	412987	919229
310	414328	917916
311	415669	916605
312	416998	915265
313	418334	913940
314	419649	912570
315	420952	911175
316	422311	909902
317	423691	908671
318	425024	907340
319	426365	906025
320	427732	904767
321	429064	903434
322	430410	902129
323	431725	900760
324	433058	899429
325	434398	898112
326	435739	896796
327	437101	895524
328	438434	894193
329	439768	892864
330	441093	891515
331	442430	890190
332	443775	888883
333	445108	887551
334	446482	886301
335	447863	885063
336	449227	883792
337	450592	882522
338	451951	881238
339	453302	879939
340	454648	878630
341	455997	877328
342	457367	876065
343	458705	874741
344	460026	873384
345	461374	872077
346	462715	870757
347	464067	869460
348	465444	868206
349	466802	866919
350	468170	865649
351	469514	864334
352	470847	862998
353	472197	861693
354	473538	860372
355	474882	859057
356	476200	857694
357	477540	856372
358	478891	855067
359	480273	853820
360	481626	852518
361	482981	851221
362	484341	849933
363	485699	848639
364	487031	847300
365	488373	845980
366	489707	844646
367	491049	843324
368	492397	842013
369	493746	840703
370	495087	839380
371	496427	838055
372	497794	836775
373	499144	835466
374	500486	834143
375	501825	832816
376	503167	831494
377	504535	830214
378	505882	828900
379	507225	827578
380	508590	826292
381	509943	824986
382	511258	823620
383	512593	822285
384	513935	820962
385	515265	819618
386	516626	818326
